Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

PASS audit depart basic/13
OUTLIER MOVE stage=22 p=(14771.73, -6026.378) target=(14719.26, -6166.617) direction=(-0.264267, -0.96445) hp=9.5 damage=17 gun=0
OUTLIER MOVE stage=22 p=(14768.28, -6041.344) target=(14719.88, -6147.131) direction=(-0.018987, -0.99982) hp=9.5 damage=17 gun=0
OUTLIER MOVE stage=22 p=(14761.3, -6053.185) target=(14800.0, -5900.5) direction=(0.452989, 0.891516) hp=8.5 damage=18 gun=0
OUTLIER MOVE stage=22 p=(14771.84, -6042.818) target=(14800.0, -5918.5) direction=(-0.200177, 0.97976) hp=8.5 damage=18 gun=0
OUTLIER MOVE stage=22 p=(14768.24, -6039.523) target=(14912.06, -6158.068) direction=(0.691123, -0.722737) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14778.66, -6049.976) target=(14912.01, -6140.068) direction=(0.962398, -0.271643) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14791.7, -6058.087) target=(14912.0, -6120.568) direction=(0.969799, 0.243905) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14803.34, -6055.646) target=(14912.0, -6102.568) direction=(0.999608, -0.027998) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14829.79, -6055.539) target=(14912.0, -6074.068) direction=(0.0, 0.0) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14829.55, -6055.467) target=(14907.67, -6059.333) direction=(0.0, 0.0) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14829.3, -6055.433) target=(14896.93, -6057.004) direction=(0.0, 0.0) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14829.05, -6055.399) target=(14693.34, -5999.39) direction=(-0.646619, 0.762814) hp=8.5 damage=20 gun=0
OUTLIER MOVE stage=22 p=(14823.24, -6049.531) target=(14700.65, -6004.378) direction=(-0.963374, -0.26816) hp=8.5 damage=20 gun=0
OUTLIER MOVE stage=22 p=(14809.25, -6055.501) target=(14766.29, -6157.682) direction=(-0.488989, -0.87229) hp=7.5 damage=21 gun=0
OUTLIER MOVE stage=22 p=(14797.52, -6067.131) target=(14777.43, -6143.697) direction=(0.0, 0.0) hp=7.5 damage=21 gun=0
OUTLIER MOVE stage=22 p=(14797.56, -6066.969) target=(14768.0, -5930.0) direction=(0.217335, 0.976097) hp=7.5 damage=22 gun=0
OUTLIER MOVE stage=22 p=(14802.33, -6052.499) target=(14768.0, -5949.5) direction=(-0.183122, 0.98309) hp=7.5 damage=22 gun=0
OUTLIER MOVE stage=22 p=(14802.38, -6045.989) target=(14768.0, -5958.5) direction=(-0.107819, 0.994171) hp=7.5 damage=22 gun=0
